tool,status,latency_ms,note
st_list_customers,ok,1882,""
st_get_customer,needs_args,1649,"MCP error -32602: Input validation error: Invalid arguments for tool st_get_cust"
st_list_jobs,ok,2259,""
st_list_appointments,ok,2046,""
st_get_pricebook,needs_args,1701,"MCP error -32602: Input validation error: Invalid arguments for tool st_get_pric"
find_customer,needs_args,2131,"{"ok":false "code":"validation_error" "message":"find_customer requires at least"
get_customer,needs_args,1718,"MCP error -32602: Input validation error: Invalid arguments for tool get_custome"
get_customer_locations,needs_args,1639,"MCP error -32602: Input validation error: Invalid arguments for tool get_custome"
list_customer_jobs,needs_args,1729,"MCP error -32602: Input validation error: Invalid arguments for tool list_custom"
get_customer_membership,needs_args,1600,"MCP error -32602: Input validation error: Invalid arguments for tool get_custome"
get_job,needs_args,1723,"MCP error -32602: Input validation error: Invalid arguments for tool get_job: [ "
list_jobs_today,ok,2283,""
get_job_appointments,needs_args,1727,"MCP error -32602: Input validation error: Invalid arguments for tool get_job_app"
search_pricebook_services,ok,2729,""
get_service_details,needs_args,2171,"MCP error -32602: Input validation error: Invalid arguments for tool get_service"
search_materials,ok,2753,""
get_configurable_equipment_children,needs_args,1865,"MCP error -32602: Input validation error: Invalid arguments for tool get_configu"
list_service_categories,fail,2173,"{"ok":false "code":"upstream_error" "message":"list_service_categories failed: 404" "correlation":"monksz91-3fa7f88fdf9b"
get_invoice,needs_args,1612,"MCP error -32602: Input validation error: Invalid arguments for tool get_invoice"
list_invoices_job,needs_args,1595,"MCP error -32602: Input validation error: Invalid arguments for tool list_invoic"
get_invoice_balance,needs_args,1676,"MCP error -32602: Input validation error: Invalid arguments for tool get_invoice"
list_unpaid_invoices,ok,31264,""
list_estimates_job,needs_args,1682,"MCP error -32602: Input validation error: Invalid arguments for tool list_estima"
get_estimate,needs_args,1852,"MCP error -32602: Input validation error: Invalid arguments for tool get_estimat"
get_capacity,needs_args,1597,"MCP error -32602: Input validation error: Invalid arguments for tool get_capacit"
list_technicians_available,fail,2092,"{"ok":false "code":"upstream_error" "message":"list_technicians_available failed: 404" "correlation":"monktwxk-582fa4b81"
get_technician_shifts,needs_args,1708,"MCP error -32602: Input validation error: Invalid arguments for tool get_technic"
list_non_job_events,ok,2186,""
st_get_capacity_slots,needs_args,1692,"MCP error -32602: Input validation error: Invalid arguments for tool st_get_capa"
list_campaigns,ok,40081,""
get_campaign_performance,needs_args,1698,"MCP error -32602: Input validation error: Invalid arguments for tool get_campaig"
st_run_report,needs_args,1676,"MCP error -32602: Input validation error: Invalid arguments for tool st_run_repo"
list_memberships_active,ok,2079,""
list_memberships_expiring,needs_args,1679,"MCP error -32602: Input validation error: Invalid arguments for tool list_member"
get_call,needs_args,1687,"MCP error -32602: Input validation error: Invalid arguments for tool get_call: ["
get_form_submission,needs_args,1831,"MCP error -32602: Input validation error: Invalid arguments for tool get_form_su"
list_open_tasks,ok,1976,""
customer_snapshot,needs_args,1630,"MCP error -32602: Input validation error: Invalid arguments for tool customer_sn"
pricebook_health_check_services,ok,2195,""
job_closeout_report,needs_args,1717,"MCP error -32602: Input validation error: Invalid arguments for tool job_closeou"
margin_audit,needs_args,12206,"MCP error -32602: Input validation error: Invalid arguments for tool margin_audi"
membership_outreach_list,needs_args,1594,"MCP error -32602: Input validation error: Invalid arguments for tool membership_"
dispatch_override_audit,needs_args,1573,"MCP error -32602: Input validation error: Invalid arguments for tool dispatch_ov"
call_quality_review,needs_args,1730,"MCP error -32602: Input validation error: Invalid arguments for tool call_qualit"
commercial_plumbing_opportunities,ok,2330,""
membership_jackpot_leaderboard,ok,2002,""
siro_list_mobile_events,fail,1909,"{"ok":false "code":"auth_failed" "message":"SIRO_API_TOKEN not configured on this worker" "correlation":"monkvsm1-cee7e1"
siro_get_recording_summary,needs_args,1818,"MCP error -32602: Input validation error: Invalid arguments for tool siro_get_re"
siro_get_engagement,needs_args,1583,"MCP error -32602: Input validation error: Invalid arguments for tool siro_get_en"
